GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJWME001,NAME_M,AJWMM001
"G09047500","2014-2018",,,"Connecticut","09",,,,,,"47500",,,,,,,,,,,,,,,,,,,,,,,,"Milford city, Connecticut",54047,"Milford city, Connecticut",34
"G13003436","2014-2018",,,"Georgia","13",,,,,,"03436",,,,,,,,,,,,,,,,,,,,,,,,"Athens-Clarke County unified government, Georgia",124602,"Athens-Clarke County unified government, Georgia",0
"G13004200","2014-2018",,,"Georgia","13",,,,,,"04200",,,,,,,,,,,,,,,,,,,,,,,,"Augusta-Richmond County consolidated government, Georgia",201463,"Augusta-Richmond County consolidated government, Georgia",0
"G18036000","2014-2018",,,"Indiana","18",,,,,,"36000",,,,,,,,,,,,,,,,,,,,,,,,"Indianapolis city, Indiana",867170,"Indianapolis city, Indiana",489
"G20028410","2014-2018",,,"Kansas","20",,,,,,"28410",,,,,,,,,,,,,,,,,,,,,,,,"Greeley County unified government, Kansas",1091,"Greeley County unified government, Kansas",116
"G21048003","2014-2018",,,"Kentucky","21",,,,,,"48003",,,,,,,,,,,,,,,,,,,,,,,,"Louisville/Jefferson County metro government, Kentucky",767154,"Louisville/Jefferson County metro government, Kentucky",0
"G30011390","2014-2018",,,"Montana","30",,,,,,"11390",,,,,,,,,,,,,,,,,,,,,,,,"Butte-Silver Bow, Montana",34814,"Butte-Silver Bow, Montana",0
"G47052004","2014-2018",,,"Tennessee","47",,,,,,"52004",,,,,,,,,,,,,,,,,,,,,,,,"Nashville-Davidson metropolitan government, Tennessee",684017,"Nashville-Davidson metropolitan government, Tennessee",0
